name,lat,long,vicinity,rating,Mobile Number
SREE NETHRA ENT AND EYE CARE HOSPITAL,14.674182,77.602452,G-1,3.5,9440942904
AASHA HOSPITAL,14.680907,77.593836,"2-133, YELLANUR ROAD TADIPATRI TOWN",3.5,9705423050
KK NURSING HOME,14.679016,77.602912,15-269,2.6,9440285365
SPANDANA HOSPITAL,14.40783,77.712366,25-519-1,3.4,9480605479
Pavani Multi Speciality Hospital,14.672798,77.601929,"D.No. 12-3-195, 5th Cross,Sai Nagar,Anantapur",4.9,8978310999
LIFELINE HOSPITAL,14.687276,77.599541,18-795-F3,2.8,9492750106
ANANTAPUR ORTHOPAEDICCENTRE,14.670631,77.593707,11--909,3.6,9902700912
SAI RATHNA MULTI SPECIALITY HOSPITAL,14.67425,77.601587,2001-03-12 00:00:00,3.5,9493870127
DIVYASREE HOSPITALS,14.677174,77.599726,10-226,3.1,7799177491
Sudarsana Hospital,14.675457,77.603791,12-2-871,3.0,9440270119
SAI KRISHNA NETHRALAYA,13.83519,77.494162,2005-04-17 00:00:00,3.4,9989973565
SRI PRAKASH EYE HOSPITAL,14.673076,77.600812,12-3-216,3.3,9985739747
PREETHI NURSING HOME,15.165188,77.378315,16/109,3.9,9177862129
APPLE EYE CARE,14.67505,77.602692,12-2-938,3.4,8099990444
Sainath Hospital,14.113985,78.16193,"1-616-2B , R.S.ROAD , KADIRIANANTAPUR DIST-515591.",4.9,7893366241
Balaji Eye Care Laser Centre,14.679783,77.603446,15-455,4.4,9908240930
Snehalatha Hospitals Vaatsalya Hospital,14.6839218,77.6020468,13-3-510,4.1,9951805038
L M R MULTI SPECIALTY HOSPITAL,14.685185,77.599041,13/3/187,3.5,9885800016
VIJAYA SANKAR HOSPITAL,14.676552,77.602573,11-235,4.4,9440944155
BALAJI MULTISPECIALITY HOSPITAL,13.834688,77.49403,1/,4.1,8712383603
SV HOSPITAL A UNIT OF AMEYA HEALTHCARE ALLIANCE,14.681319,77.599443,14/327,2.8,9985148483
Dr. YSR Memorial Hospitals,14.675556,77.603095,12-2-878,3.3,9494175580
Aasha Hospital,14.68085,77.593985,"7/201,court road,anantapur",3.2,9440286194
TEJA NURSING HOME,13.835304,77.494222,"17-4-3/2, R.P.G.T.ROAD, Hindupur Muncipality, Hindupur, Anantapur",3.6,9553555143
CHANDRA SUPERSPECIALTY HOSPITAL,14.687829,77.600577,"13-2-390SHIRDI NAGAR, ANANTAPUR",4.8,9441428197
AMEER NURSING HOME,14.114729,78.161995,"1/617-8 & 9,WATER TANK ROAD,Kadiri,Anantapur",4.5,8142839611
SREE RAGHAVENDRA MULTISPECIALITY HOSPITAL,13.834451,77.495156,1-3-2C,3.2,9632032052
SREENIVASA MULTI SPECIALITY HOSPITAL,14.677118,77.605872,28-271,3.8,8886688133
DR AKBAR EYE HOSPITAL PHACO AND LASER CENTER,14.672568,77.601214,12-3-234,4.0,9440937767
MYTHRIHOSPITAL,14.680585,77.600075,15/721,4.4,9012001456
TRIVENI HOSPITAL,14.113102,78.162048,1-358,3.8,9441053273
NEPHROPLUS (GGH-ANT),14.671046,77.594353,"Govt.General Hospital,Anantapur",3.1,9885697344
ABHAYA KIDNEY CARE MULITYSPECIALITY HOSPITAL,14.678469,77.600388,10-470,2.5,8125558329
Saveera Institute of Medical Sciences Pvt Ltd,14.65587095,77.5842292,1-1348,4.0,8886469989
DEVI NURSING HOME,14.398326,77.706706,25-585-17,3.7,9494274768
SRI PADMAVATHI SRINIVASA MULTISPECILITY HOSPITAL,15.159705,77.377533,20/184,4.2,9949946544
RURAL DEVELOPMENT TRUST HOSPITAL,14.513314,77.772009,2-528KADIRI ROAD,2.9,9701040301
SRI GAYATHRI HOSPITL,14.674985,77.60303,12/2/883,3.9,9493832324
MALVINA HOSPITAL AND EYE CENTRE,14.671304,77.601281,12-2-820,3.6,9849175291
SANJEEVINI HOSPITALS,14.677805,77.599363,10/514,3.0,9985148483
SREE AMARAVATHI MULTI SPECIALITY HOSPITAL,14.670745,77.592858,11-1-234,2.9,8886230678
BABY HOSPITAL,14.675365,77.601683,2021-02-12 00:00:00,2.7,9849341205
SRI PRAAGNA HOSPITALS,14.630059,77.620605,2022-04-01 00:00:00,4.8,9441819394
SRI SAI KRUPA NURSING HOME,14.398326,77.706706,10-368,4.7,8179654540
SRI ANAND HOSPITAL,14.66045,77.379894,13-2-128,4.5,9550708670
SWAPNA NURSING HOME,15.166045,77.379894,17/409,3.6,9384914620
Russh Hospitals Pvt Ltd,13.636447,79.421477,"10-14-576/6 1ST STREET R & R COLONY, TIRUPATHI - 517 501",4.0,9440340059
Sri Sai Sudha Hospital,13.635678,79.420775,TIRUPATHI,4.4,9949853701
Balaji Multispeciality Hospital,13.557952,78.509466,15-6-5-10,3.5,9490445255
Narayanadri Hospital and Research institute private limited,13.62856,79.46434,73-A,4.9,7093028955
CITI HOSPITALS,13.556531,78.500221,2-42-46,4.0,9014734191
NAVYA NETHRALAYA,13.633465,79.409727,DOORNO/349,3.4,9440898255
Om Hospital,13.638053,79.422709,"10-13-486, REDDY & REDDY COLONY, TIRUPATHI, ANDHRA PRADESH",4.7,9491060820
Sree Ramadevi Multy Speciality Hospital,13.63821,79.41773,"T.S,82 SAIRAM STREET TIRUPATHI",4.4,9849168248
Sneha Hospital,13.63992,79.4122,"SAROJINI DEVI LAY OUT , TIRUPATHI",3.6,9849046764
Chandra Mohans Nursing Home,13.554457,78.507353,"14.2/A CTM ROAD MADANAPALLI,TIRUPATHI",4.1,7382753220
Pes Institute Of Medical Sciences And Research Hospital,12.789652,78.364674,"KUPPAM - 571 425, CHITTOOR DIST, ANDHRA PRADESH",2.9,8333814176
Sri Priya Nursing Home,12.750086,78.342985,"A.P Vajravelu Chetty Street, Kuppam- 517425, Chittoor (Dt)",2.9,9440393137
M S HOSPITAL,13.63994,79.42623,18-2-263,3.4,9949085759
DRUSHTI EYE HOSPITAL,13.555986,78.500434,1-444,3.9,9849262861
ANAND BABU HOSPITAL,13.557362,78.509461,15/6/5/14,3.8,8309179335
VENKATARAMANA HEART AND MATERNITY HOSPITAL,13.63544,79.41946,10-3-206/A3/A,3.0,9247328561
SRI VENKATA SAI HRUDAYALAYA,13.62955,79.41757,1979-02-15 00:00:00,3.4,9704059621
Sankalpa Super Speciality Hospital,13.635001,79.426087,DNo13-5-531/B1/7/B,4.0,9440022081
BALAJI ORTHOPAEDIC AND TRAUMA HOSPITAL,13.63417,79.42928,1967-07-20 00:00:00,3.2,9441088581
SUTHRAMA EYE HOSPITAL,13.56119,78.510385,3-237,4.3,9704681006
NEPHROPLUS (SVRR GGH TIRUPATI),13.643855,79.407353,"SRI VENKATAESHWARA RAMA NARAYANA RUIA GOVT GENRAL HOSPITAL,BESIDE EMERGENCY WARD,ALIPIRI ROAD,TIRUPATI 517501",4.5,8179259171
