Place_1,Place_2,Name,Latitude,Longitude,Rating,Vicinity,Place_id,Open_Status,Phone_number,Dept,no_of_beds
,,SREE NETHRA ENT AND EYE CARE HOSPITAL,14.674182,77.602452,3.5,G-1,1,UNKNOWN,9440942904,"urology,neurology,cardiology,paediatrics,general surgery,dental,specialty,family medicine,dermatology,gastroenterology,accident,",74
,,AASHA HOSPITAL,14.680907000000001,77.593836,3.5,"2-133, YELLANUR ROAD TADIPATRI TOWN",2,UNKNOWN,9705423050,"pathology,medical research,accident,plastic surgery,cardiology,orthopaedics,general surgery,specialty,urology,plastic,dental,allergy,oral and maxillofacial surgery,paediatric surgery,public health,palliative care,neonatology,oncology,ophthalmology,",93
,,KK NURSING HOME,14.679016,77.602912,2.6,15-269,3,UNKNOWN,9440285365,,21
,,SPANDANA HOSPITAL,14.407829999999999,77.712366,3.4,25-519-1,4,UNKNOWN,9480605479,"urology,psychiatry,medical research,specialty,adolescent,geriatrics,neurology,",93
,,Pavani Multi Speciality Hospital,14.672798,77.601929,4.9,"D.No. 12-3-195, 5th Cross,Sai Nagar,Anantapur",5,UNKNOWN,8978310999,"pathology,medical research,accident,plastic surgery,cardiology,orthopaedics,general surgery,specialty,urology,plastic,dental,allergy,oral and maxillofacial surgery,paediatric surgery,public health,palliative care,neonatology,oncology,ophthalmology,",33
,,LIFELINE HOSPITAL,14.687276,77.599541,2.8,18-795-F3,6,UNKNOWN,9492750106,"radiology,hematology,internal medicine,neurosurgery,cardiothoracic surgery,cardiology,orthopaedics,gynecology,general surgery,medical oncology,surgical oncology,urology,neurology,interventional radiology,pathology,nephrology,pediatrics,endocrinology,thoracic surgery,pediatric cardiology,oncology,dermatology,",99
,,ANANTAPUR ORTHOPAEDICCENTRE,14.670631,77.593707,3.6,11--909,7,UNKNOWN,9902700912,,46
,,SAI RATHNA MULTI SPECIALITY HOSPITAL,14.67425,77.601587,3.5,2001-03-12 00:00:00,8,UNKNOWN,9493870127,,20
,,DIVYASREE HOSPITALS,14.677173999999999,77.599726,3.1,10-226,9,UNKNOWN,7799177491,,37
,,Sudarsana Hospital,14.675457000000002,77.603791,3.0,12-2-871,10,UNKNOWN,9440270119,,35
,,SAI KRISHNA NETHRALAYA,13.835189999999999,77.494162,3.4,2005-04-17 00:00:00,11,UNKNOWN,9989973565,,11
,,SRI PRAKASH EYE HOSPITAL,14.673076000000002,77.600812,3.3,12-3-216,12,UNKNOWN,9985739747,"public health,dental,specialty,adolescent,ophthalmology,",63
,,PREETHI NURSING HOME,15.165188,77.378315,3.9,16/109,13,UNKNOWN,9177862129,,75
,,APPLE EYE CARE,14.67505,77.602692,3.4,12-2-938,14,UNKNOWN,8099990444,"medical research,specialty,immunology,",25
,,Sainath Hospital,14.113985000000001,78.16193,4.9,"1-616-2B , R.S.ROAD , KADIRIANANTAPUR DIST-515591.",15,UNKNOWN,7893366241,"pathology,medical research,accident,plastic surgery,cardiology,orthopaedics,general surgery,specialty,urology,plastic,dental,allergy,oral and maxillofacial surgery,paediatric surgery,public health,palliative care,neonatology,oncology,ophthalmology,",88
,,Balaji Eye Care Laser Centre,14.679782999999999,77.60344599999998,4.4,15-455,16,UNKNOWN,9908240930,,31
,,Snehalatha Hospitals Vaatsalya Hospital,14.683921799999998,77.6020468,4.1,13-3-510,17,UNKNOWN,9951805038,,8
,,L M R MULTI SPECIALTY HOSPITAL,14.685185,77.599041,3.5,13/3/187,18,UNKNOWN,9885800016,"pathology,medical research,vascular surgery,accident,plastic surgery,cardiology,orthopaedics,specialty,gastroenterology,urology,plastic,immunology,neurology,nephrology,dental,allergy,rheumatology,public health,oncology,ophthalmology,",94
,,VIJAYA SANKAR HOSPITAL,14.676552,77.60257299999998,4.4,11-235,19,UNKNOWN,9440944155,,17
,,BALAJI MULTISPECIALITY HOSPITAL,13.834688,77.49403000000002,4.1,1/,20,UNKNOWN,8712383603,"radiology,sports medicine,vascular surgery,internal medicine,maxillo-facial surgery,laboratory medicine,neurosurgery,cardiothoracic surgery,accident,plastic surgery,cardiology,orthopaedics,paediatrics,gynecology,general surgery,specialty,medical oncology,gastroenterology,pediatric surgery,urology,plastic,neurology,anesthesiology,orthopedic surgery,pathology,dental,nephrology,pediatrics,allergy,endocrinology,thoracic surgery,psychiatry,pulmonology,pediatric cardiology,paediatric surgery,respiratory medicine,dietetics,oncology,dermatology,ophthalmology,",9
